day,classroom,capacity,occupied_periods,Nheld,Dw,fw,rank
tue,61-206,108,0.0,0.0,0.0,0.9259259259259259,2
tue,61-306,108,0.0,0.0,0.0,0.9259259259259259,3
tue,61-409,108,0.0,0.0,0.0,0.9259259259259259,4
tue,63PC-C,100,0.0,0.0,0.0,1.0,5
tue,61-314,90,0.0,0.0,0.0,1.1111111111111112,6
tue,63PC-B,80,0.0,0.0,0.0,1.25,7
tue,55S-03-03,50,0.0,0.0,0.0,2.0,8
tue,63PC-E,50,0.0,0.0,0.0,2.0,9
tue,63PC-G,48,0.0,0.0,0.0,2.0833333333333335,10
tue,57-202,420,3.0,42.0,3.0,714.5238095238095,11
tue,61-102B,135,1.0,14.0,1.0,741.4814814814814,12
tue,52-302,220,2.0,28.0,2.0,909.5454545454545,13
tue,61-104,108,1.0,14.0,1.0,926.8518518518518,14
tue,61-405,108,1.0,14.0,1.0,926.8518518518518,15
tue,57-201,420,4.0,56.0,4.0,952.6190476190476,16
tue,52-202,201,2.0,28.0,2.0,995.5223880597015,17
tue,60-102,90,1.0,14.0,1.0,1112.2222222222222,18
tue,61-401,90,1.0,14.0,1.0,1112.2222222222222,19
tue,54-404,121,1.5,21.0,1.5,1240.495867768595,20
tue,56-101,240,3.0,42.0,3.0,1250.4166666666667,21
tue,61-310,108,1.5,21.0,1.5,1389.8148148148148,22
tue,52-303,142,2.0,28.0,2.0,1409.1549295774648,23
tue,52-204,201,3.0,42.0,3.0,1493.0348258706467,24
tue,56-104,201,3.0,42.0,3.0,1493.0348258706467,25
tue,63-02-01,312,5.0,70.0,5.0,1602.8846153846155,26
tue,55S-02-01,121,2.0,28.0,2.0,1653.7190082644627,27
tue,56-102,240,4.0,56.0,4.0,1667.0833333333337,28
tue,52-102,164,3.0,42.0,3.0,1829.8780487804877,29
tue,61-210,108,2.0,28.0,2.0,1852.7777777777778,30
tue,63-02-02,312,6.0,84.0,6.0,1923.3974358974363,31
tue,55S-03-01,50,1.0,14.0,1.0,2001.9999999999995,32
tue,55S-03-09,50,1.0,14.0,1.0,2001.9999999999995,33
tue,61-214,99,2.0,28.0,2.0,2021.2121212121212,34
tue,56-103,240,5.0,70.0,5.0,2083.75,35
tue,53-403,95,2.0,28.0,2.0,2106.315789473684,36
tue,60-202,90,2.0,28.0,2.0,2223.333333333333,37
tue,61-202,90,2.0,28.0,2.0,2223.333333333333,38
tue,52-304,220,5.0,70.0,5.0,2273.1818181818185,39
tue,52-104,164,4.0,56.0,4.0,2439.6341463414633,40
tue,54-202,121,3.0,42.0,3.0,2480.1652892561983,41
tue,54-302,121,3.0,42.0,3.0,2480.1652892561983,42
tue,54-402,121,3.0,42.0,3.0,2480.1652892561983,43
tue,63PC-A,80,2.0,28.0,2.0,2501.25,44
tue,55S-03-08,150,4.0,56.0,4.0,2667.3333333333335,45
tue,54-B02,66,2.0,28.0,2.0,3031.8181818181815,46
tue,54-B04,66,2.0,28.0,2.0,3031.8181818181815,47
tue,52-103,164,5.0,70.0,5.0,3049.390243902439,48
tue,53-201,95,3.0,42.0,3.0,3158.947368421053,49
tue,53-203,95,3.0,42.0,3.0,3158.947368421053,50
tue,53-303,95,3.0,42.0,3.0,3158.947368421053,51
tue,54-204,121,4.0,56.0,4.0,3306.6115702479337,52
tue,54-304,121,4.0,56.0,4.0,3306.6115702479337,53
tue,61-302,90,3.0,42.0,3.0,3334.444444444444,54
tue,61-413,90,3.0,42.0,3.0,3334.444444444444,55
tue,63PC-D,48,2.0,28.0,2.0,4168.749999999999,56
tue,63PC-F,48,2.0,28.0,2.0,4168.749999999999,57
tue,53-301,95,4.0,56.0,4.0,4211.578947368421,58
tue,54-103,69,3.0,42.0,3.0,4349.275362318841,59
tue,53-401,95,4.5,63.0,4.5,4737.894736842105,60
tue,54-403,69,3.5,49.0,3.5,5073.913043478261,61
tue,53-B04,52,3.0,42.0,3.0,5771.153846153846,62
tue,54-101,69,4.0,56.0,4.0,5798.550724637681,63
tue,54-201,69,4.0,56.0,4.0,5798.550724637681,64
tue,55S-03-07,50,3.0,42.0,3.0,6002.0,65
tue,54-B01,66,4.0,56.0,4.0,6062.121212121212,66
tue,54-B03,66,4.0,56.0,4.0,6062.121212121212,67
tue,54-102,69,5.0,70.0,5.0,7247.826086956523,68
tue,54-104,69,5.0,70.0,5.0,7247.826086956523,69
tue,54-203,69,5.0,70.0,5.0,7247.826086956523,70
tue,54-301,69,5.0,70.0,5.0,7247.826086956523,71
tue,54-303,69,5.0,70.0,5.0,7247.826086956523,72
tue,54-401,69,5.0,70.0,5.0,7247.826086956523,73
tue,53-B01,52,4.0,56.0,4.0,7694.2307692307695,74
tue,53-104,50,4.0,56.0,4.0,8002.000000000001,75
tue,53-B03,52,4.5,63.0,4.5,8655.76923076923,76
tue,53-204,52,5.0,70.0,5.0,9617.307692307693,77
tue,53-103,50,5.0,70.0,5.0,10002.000000000002,78
tue,53-404,52,5.5,77.0,5.5,10578.846153846156,79
tue,53-304,52,6.0,84.0,6.0,11540.384615384617,80
tue,53-101,50,6.0,84.0,6.0,12002.0,81
wed,61-104,108,0.0,0.0,0.0,0.9259259259259259,1
wed,61-310,108,0.0,0.0,0.0,0.9259259259259259,2
wed,61-405,108,0.0,0.0,0.0,0.9259259259259259,3
wed,61-202,90,0.0,0.0,0.0,1.1111111111111112,4
wed,61-401,90,0.0,0.0,0.0,1.1111111111111112,5
wed,54-B04,66,0.0,0.0,0.0,1.5151515151515151,6
wed,55S-03-09,50,0.0,0.0,0.0,2.0,7
wed,63PC-E,50,0.0,0.0,0.0,2.0,8
wed,63PC-D,48,0.0,0.0,0.0,2.0833333333333335,9
wed,57-202,420,2.0,28.0,2.0,476.4285714285714,10
wed,52-201,142,1.0,14.0,1.0,704.9295774647886,11
wed,52-303,142,1.0,14.0,1.0,704.9295774647886,12
wed,61-102B,135,1.0,14.0,1.0,741.4814814814814,13
wed,61-214,99,1.0,14.0,1.0,1011.1111111111111,14
wed,61-314,90,1.0,14.0,1.0,1112.2222222222222,15
wed,52-302,220,2.5,35.0,2.5,1136.8181818181818,16
wed,57-201,420,5.0,70.0,5.0,1190.7142857142858,17
wed,63PC-A,80,1.0,14.0,1.0,1251.25,18
wed,63PC-B,80,1.0,14.0,1.0,1251.25,19
wed,63-02-02,312,4.0,56.0,4.0,1282.371794871795,20
wed,54-B03,66,1.0,14.0,1.0,1516.6666666666665,21
wed,63-02-01,312,5.0,70.0,5.0,1602.8846153846155,22
wed,55S-02-01,121,2.0,28.0,2.0,1653.7190082644627,23
wed,56-101,240,4.0,56.0,4.0,1667.0833333333337,24
wed,56-103,240,4.0,56.0,4.0,1667.0833333333337,25
wed,61-206,108,2.0,28.0,2.0,1852.7777777777778,26
wed,61-306,108,2.0,28.0,2.0,1852.7777777777778,27
wed,61-409,108,2.0,28.0,2.0,1852.7777777777778,28
wed,52-204,201,4.0,56.0,4.0,1990.5472636815923,29
wed,56-104,201,4.0,56.0,4.0,1990.5472636815923,30
wed,55S-03-08,150,3.0,42.0,3.0,2000.6666666666665,31
wed,55S-03-01,50,1.0,14.0,1.0,2001.9999999999995,32
wed,55S-03-03,50,1.0,14.0,1.0,2001.9999999999995,33
wed,55S-03-07,50,1.0,14.0,1.0,2001.9999999999995,34
wed,56-102,240,5.0,70.0,5.0,2083.75,35
wed,61-302,90,2.0,28.0,2.0,2223.333333333333,36
wed,52-304,220,5.0,70.0,5.0,2273.1818181818185,37
wed,61-210,108,2.5,35.0,2.5,2315.740740740741,38
wed,52-102,164,4.0,56.0,4.0,2439.6341463414633,39
wed,52-104,164,4.0,56.0,4.0,2439.6341463414633,40
wed,54-204,121,3.0,42.0,3.0,2480.1652892561983,41
wed,52-202,201,5.0,70.0,5.0,2488.0597014925374,42
wed,53-201,95,2.5,35.0,2.5,2632.6315789473683,43
wed,63PC-C,100,3.0,42.0,3.0,3001.0,44
wed,54-B01,66,2.0,28.0,2.0,3031.8181818181815,45
wed,52-103,164,5.0,70.0,5.0,3049.390243902439,46
wed,53-401,95,3.0,42.0,3.0,3158.947368421053,47
wed,54-302,121,4.0,56.0,4.0,3306.6115702479337,48
wed,54-304,121,4.0,56.0,4.0,3306.6115702479337,49
wed,54-402,121,4.0,56.0,4.0,3306.6115702479337,50
wed,54-404,121,4.0,56.0,4.0,3306.6115702479337,51
wed,60-102,90,3.0,42.0,3.0,3334.444444444444,52
wed,60-202,90,3.0,42.0,3.0,3334.444444444444,53
wed,61-413,90,3.0,42.0,3.0,3334.444444444444,54
wed,54-303,69,2.5,35.0,2.5,3624.6376811594205,55
wed,54-403,69,2.5,35.0,2.5,3624.6376811594205,56
wed,54-202,121,4.5,63.0,4.5,3719.8347107438017,57
wed,53-301,95,4.0,56.0,4.0,4211.578947368421,58
wed,53-403,95,4.0,56.0,4.0,4211.578947368421,59
wed,54-201,69,3.0,42.0,3.0,4349.27536231884,60
wed,54-104,69,3.0,42.0,3.0,4349.275362318841,61
wed,54-203,69,3.0,42.0,3.0,4349.275362318841,62
wed,54-B02,66,3.0,42.0,3.0,4546.969696969697,63
wed,53-203,95,5.0,70.0,5.0,5264.21052631579,64
wed,53-303,95,5.0,70.0,5.0,5264.21052631579,65
wed,53-304,52,3.0,42.0,3.0,5771.153846153846,66
wed,53-404,52,3.0,42.0,3.0,5771.153846153846,67
wed,54-102,69,4.0,56.0,4.0,5798.550724637681,68
wed,54-103,69,4.0,56.0,4.0,5798.550724637681,69
wed,54-401,69,4.0,56.0,4.0,5798.550724637681,70
wed,53-101,50,3.0,42.0,3.0,6002.0,71
wed,63PC-G,48,3.0,42.0,3.0,6252.083333333333,72
wed,54-101,69,5.0,70.0,5.0,7247.826086956523,73
wed,54-301,69,5.0,70.0,5.0,7247.826086956523,74
wed,53-204,52,4.0,56.0,4.0,7694.2307692307695,75
wed,53-B03,52,4.0,56.0,4.0,7694.2307692307695,76
wed,53-B04,52,4.0,56.0,4.0,7694.2307692307695,77
wed,53-103,50,4.0,56.0,4.0,8002.000000000001,78
wed,53-104,50,4.0,56.0,4.0,8002.000000000001,79
wed,63PC-F,48,4.0,56.0,4.0,8335.416666666668,80
wed,53-B01,52,5.0,70.0,5.0,9617.307692307693,81
thu,57-202,420,0.0,0.0,0.0,0.2380952380952381,1
thu,55S-03-08,150,0.0,0.0,0.0,0.6666666666666666,2
thu,61-104,108,0.0,0.0,0.0,0.9259259259259259,3
thu,61-306,108,0.0,0.0,0.0,0.9259259259259259,4
thu,61-310,108,0.0,0.0,0.0,0.9259259259259259,5
thu,61-405,108,0.0,0.0,0.0,0.9259259259259259,6
thu,61-302,90,0.0,0.0,0.0,1.1111111111111112,7
thu,55S-03-03,50,0.0,0.0,0.0,2.0,8
thu,63PC-E,50,0.0,0.0,0.0,2.0,9
thu,63PC-D,48,0.0,0.0,0.0,2.0833333333333335,10
thu,63PC-F,48,0.0,0.0,0.0,2.0833333333333335,11
thu,57-201,420,1.0,14.0,1.0,238.33333333333331,12
thu,52-204,201,1.0,14.0,1.0,498.0099502487562,13
thu,56-104,201,1.0,14.0,1.0,498.0099502487562,14
thu,63-02-01,312,2.0,28.0,2.0,641.3461538461538,15
thu,63-02-02,312,2.0,28.0,2.0,641.3461538461538,16
thu,55S-02-01,121,1.0,14.0,1.0,827.2727272727271,17
thu,56-101,240,2.0,28.0,2.0,833.7499999999999,18
thu,56-102,240,2.0,28.0,2.0,833.7499999999999,19
thu,52-302,220,2.0,28.0,2.0,909.5454545454545,20
thu,52-102,164,1.5,21.0,1.5,915.2439024390243,21
thu,52-202,201,2.0,28.0,2.0,995.5223880597015,22
thu,61-202,90,1.0,14.0,1.0,1112.2222222222222,23
thu,61-314,90,1.0,14.0,1.0,1112.2222222222222,24
thu,61-413,90,1.0,14.0,1.0,1112.2222222222222,25
thu,56-103,240,3.0,42.0,3.0,1250.4166666666667,26
thu,52-304,220,3.0,42.0,3.0,1364.090909090909,27
thu,61-210,108,1.5,21.0,1.5,1389.8148148148148,28
thu,54-B04,66,1.0,14.0,1.0,1516.6666666666665,29
thu,52-103,164,2.5,35.0,2.5,1525.0,30
thu,54-304,121,2.0,28.0,2.0,1653.7190082644627,31
thu,54-402,121,2.0,28.0,2.0,1653.7190082644627,32
thu,52-104,164,3.0,42.0,3.0,1829.8780487804877,33
thu,55S-03-07,50,1.0,14.0,1.0,2002.0,34
thu,55S-03-09,50,1.0,14.0,1.0,2002.0,35
thu,61-214,99,2.0,28.0,2.0,2021.212121212121,36
thu,53-201,95,2.0,28.0,2.0,2106.315789473684,37
thu,52-201,142,3.0,42.0,3.0,2113.3802816901407,38
thu,52-303,142,3.0,42.0,3.0,2113.3802816901407,39
thu,61-102B,135,3.0,42.0,3.0,2222.962962962963,40
thu,60-202,90,2.0,28.0,2.0,2223.333333333333,41
thu,54-204,121,3.0,42.0,3.0,2480.1652892561983,42
thu,63PC-B,80,2.0,28.0,2.0,2501.25,43
thu,61-206,108,3.0,42.0,3.0,2778.703703703704,44
thu,61-409,108,3.0,42.0,3.0,2778.703703703704,45
thu,54-404,121,3.5,49.0,3.5,2893.3884297520663,46
thu,54-102,69,2.0,28.0,2.0,2900.0,47
thu,54-203,69,2.0,28.0,2.0,2900.0,48
thu,54-403,69,2.0,28.0,2.0,2900.0,49
thu,54-B02,66,2.0,28.0,2.0,3031.8181818181815,50
thu,54-B03,66,2.0,28.0,2.0,3031.8181818181815,51
thu,53-301,95,3.0,42.0,3.0,3158.947368421053,52
thu,53-401,95,3.0,42.0,3.0,3158.947368421053,53
thu,53-403,95,3.0,42.0,3.0,3158.947368421053,54
thu,54-202,121,4.0,56.0,4.0,3306.6115702479337,55
thu,54-302,121,4.0,56.0,4.0,3306.6115702479337,56
thu,60-102,90,3.0,42.0,3.0,3334.444444444444,57
thu,61-401,90,3.0,42.0,3.0,3334.444444444444,58
thu,63PC-A,80,3.0,42.0,3.0,3751.2499999999995,59
thu,53-404,52,2.0,28.0,2.0,3848.076923076923,60
thu,63PC-C,100,4.0,56.0,4.0,4001.0000000000005,61
thu,55S-03-01,50,2.0,28.0,2.0,4002.0,62
thu,63PC-G,48,2.0,28.0,2.0,4168.749999999999,63
thu,53-303,95,4.0,56.0,4.0,4211.578947368421,64
thu,53-B04,52,2.5,35.0,2.5,4809.615384615385,65
thu,53-203,95,5.0,70.0,5.0,5264.21052631579,66
thu,53-204,52,3.0,42.0,3.0,5771.153846153846,67
thu,54-103,69,4.0,56.0,4.0,5798.550724637681,68
thu,54-201,69,4.0,56.0,4.0,5798.550724637681,69
thu,54-301,69,4.0,56.0,4.0,5798.550724637681,70
thu,54-303,69,4.0,56.0,4.0,5798.550724637681,71
thu,54-401,69,4.0,56.0,4.0,5798.550724637681,72
thu,53-104,50,3.0,42.0,3.0,6002.0,73
thu,54-B01,66,4.0,56.0,4.0,6062.121212121212,74
thu,54-101,69,5.0,70.0,5.0,7247.826086956523,75
thu,54-104,69,5.0,70.0,5.0,7247.826086956523,76
thu,53-304,52,4.0,56.0,4.0,7694.2307692307695,77
thu,53-B01,52,5.0,70.0,5.0,9617.307692307693,78
thu,53-B03,52,5.0,70.0,5.0,9617.307692307693,79
thu,53-103,50,5.0,70.0,5.0,10002.000000000002,80
thu,53-101,50,6.0,84.0,6.0,12002.0,81
fri,52-202,201,0.0,0.0,0.0,0.4975124378109453,1
fri,54-404,121,0.0,0.0,0.0,0.8264462809917356,2
fri,61-206,108,0.0,0.0,0.0,0.9259259259259259,3
fri,61-310,108,0.0,0.0,0.0,0.9259259259259259,4
fri,61-405,108,0.0,0.0,0.0,0.9259259259259259,5
fri,61-314,90,0.0,0.0,0.0,1.1111111111111112,6
fri,61-413,90,0.0,0.0,0.0,1.1111111111111112,7
fri,63PC-F,48,0.0,0.0,0.0,2.0833333333333335,8
fri,63PC-G,48,0.0,0.0,0.0,2.0833333333333335,9
fri,57-202,420,1.0,14.0,1.0,238.33333333333331,10
fri,57-201,420,2.0,28.0,2.0,476.4285714285714,11
fri,52-201,142,1.0,14.0,1.0,704.9295774647886,12
fri,56-102,240,2.0,28.0,2.0,833.7499999999999,13
fri,56-103,240,2.0,28.0,2.0,833.7499999999999,14
fri,52-302,220,2.0,28.0,2.0,909.5454545454545,15
fri,61-306,108,1.0,14.0,1.0,926.8518518518518,16
fri,61-409,108,1.0,14.0,1.0,926.8518518518518,17
fri,63-02-02,312,3.0,42.0,3.0,961.8589743589744,18
fri,61-202,90,1.0,14.0,1.0,1112.2222222222222,19
fri,56-101,240,3.0,42.0,3.0,1250.4166666666667,20
fri,63-02-01,312,4.0,56.0,4.0,1282.371794871795,21
fri,52-304,220,3.0,42.0,3.0,1364.090909090909,22
fri,52-303,142,2.0,28.0,2.0,1409.1549295774648,23
fri,61-102B,135,2.0,28.0,2.0,1482.2222222222222,24
fri,52-204,201,3.0,42.0,3.0,1493.0348258706467,25
fri,52-102,164,2.5,35.0,2.5,1525.0,26
fri,54-402,121,2.0,28.0,2.0,1653.7190082644627,27
fri,56-104,201,4.0,56.0,4.0,1990.5472636815923,28
fri,55S-03-08,150,3.0,42.0,3.0,2000.6666666666665,29
fri,55S-03-07,50,1.0,14.0,1.0,2001.9999999999995,30
fri,63PC-E,50,1.0,14.0,1.0,2001.9999999999995,31
fri,61-214,99,2.0,28.0,2.0,2021.2121212121212,32
fri,53-401,95,2.0,28.0,2.0,2106.315789473684,33
fri,61-401,90,2.0,28.0,2.0,2223.333333333333,34
fri,52-103,164,4.0,56.0,4.0,2439.6341463414633,35
fri,54-304,121,3.0,42.0,3.0,2480.1652892561983,36
fri,55S-02-01,121,3.0,42.0,3.0,2480.1652892561983,37
fri,63PC-A,80,2.0,28.0,2.0,2501.25,38
fri,60-102,90,2.5,35.0,2.5,2778.8888888888887,39
fri,54-B04,66,2.0,28.0,2.0,3031.8181818181815,40
fri,52-104,164,5.0,70.0,5.0,3049.390243902439,41
fri,54-204,121,4.0,56.0,4.0,3306.6115702479337,42
fri,60-202,90,3.0,42.0,3.0,3334.444444444444,43
fri,54-103,69,2.5,35.0,2.5,3624.6376811594205,44
fri,61-104,108,4.0,56.0,4.0,3704.62962962963,45
fri,61-210,108,4.0,56.0,4.0,3704.62962962963,46
fri,54-202,121,4.5,63.0,4.5,3719.8347107438017,47
fri,54-302,121,4.5,63.0,4.5,3719.8347107438017,48
fri,63PC-B,80,3.0,42.0,3.0,3751.2499999999995,49
fri,53-B01,52,2.0,28.0,2.0,3848.076923076923,50
fri,63PC-C,100,4.0,56.0,4.0,4001.0000000000005,51
fri,55S-03-01,50,2.0,28.0,2.0,4002.0,52
fri,55S-03-03,50,2.0,28.0,2.0,4002.0,53
fri,63PC-D,48,2.0,28.0,2.0,4168.749999999999,54
fri,53-203,95,4.0,56.0,4.0,4211.578947368421,55
fri,53-301,95,4.0,56.0,4.0,4211.578947368421,56
fri,53-403,95,4.0,56.0,4.0,4211.578947368421,57
fri,54-104,69,3.0,42.0,3.0,4349.275362318841,58
fri,54-201,69,3.0,42.0,3.0,4349.275362318841,59
fri,54-203,69,3.0,42.0,3.0,4349.275362318841,60
fri,61-302,90,4.0,56.0,4.0,4445.555555555556,61
fri,54-B01,66,3.0,42.0,3.0,4546.969696969697,62
fri,54-B03,66,3.0,42.0,3.0,4546.969696969697,63
fri,53-201,95,5.0,70.0,5.0,5264.21052631579,64
fri,53-303,95,5.0,70.0,5.0,5264.21052631579,65
fri,53-304,52,3.0,42.0,3.0,5771.153846153846,66
fri,53-B04,52,3.0,42.0,3.0,5771.153846153846,67
fri,54-301,69,4.0,56.0,4.0,5798.550724637681,68
fri,54-303,69,4.0,56.0,4.0,5798.550724637681,69
fri,54-102,69,4.0,56.0,4.0,5798.550724637682,70
fri,53-104,50,3.0,42.0,3.0,6002.0,71
fri,55S-03-09,50,3.0,42.0,3.0,6002.0,72
fri,54-B02,66,4.0,56.0,4.0,6062.121212121212,73
fri,54-101,69,5.0,70.0,5.0,7247.826086956523,74
fri,54-401,69,5.0,70.0,5.0,7247.826086956523,75
fri,54-403,69,5.0,70.0,5.0,7247.826086956523,76
fri,53-204,52,4.0,56.0,4.0,7694.2307692307695,77
fri,53-404,52,4.0,56.0,4.0,7694.2307692307695,78
fri,53-B03,52,4.0,56.0,4.0,7694.2307692307695,79
fri,53-101,50,4.0,56.0,4.0,8002.000000000001,80
fri,53-103,50,5.0,70.0,5.0,10002.000000000002,81
